Country,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,DeathsBySmoking,HealthWarningsOnSmoking,TreatmentInHealthFacilities,MostSoldBrandCigarettePriceInUSD,GDPinUSD,Population
Albania,46.8,54.4,54.4,3011.0,No,Data not available,,8522.0,2951689
Algeria,12.1,15.9,20.8,16733.0,No,No,1.12,11475.0,34569592
Andorra,28.9,35.1,35.1,96.0,Not applicable,No,,,
Argentina,28.3,31.2,34.1,46398.0,Not applicable,Yes in some,1.23,18520.0,40273769
Armenia,29.2,31.3,31.3,5091.0,Not applicable,Yes in some,1.63,10081.0,2983421
Australia,16.1,19.7,22.4,18357.0,No,Yes in most,9.6,44422.0,21247873
Austria,36.7,39.4,39.4,11560.0,No,Yes in some,5.59,40965.0,8321132
Azerbaijan,19.3,24.2,24.2,9753.0,Not applicable,No,0.85,14073.0,8999696
Bahamas,3.1,18.5,18.5,111.0,Not applicable,No,2.69,,362795
Bahrain,14.6,34.8,26.5,356.0,Not applicable,Yes in most,1.59,30612.0,1110344
Bangladesh,17.3,2.1,45.5,89227.0,Not applicable,Yes in some,0.22,2321.0,145421318
Barbados,3.1,2.6,2.7,131.0,Not applicable,No,5.5,12786.0,272636
Belarus,30.4,32.6,32.6,23936.0,Not applicable,Yes in some,0.4,16224.0,9787826
Belgium,20.6,27.8,27.8,19729.0,No,Yes in some,6.46,38117.0,10726716
Benin,10.4,14.5,20.2,1690.0,No,No,1.18,1920.0,8906469
Bosnia and Herzegovina,34.7,42.8,42.8,7981.0,Not applicable,Yes in most,1.59,9199.0,3943392
Botswana,24.9,31.8,27.7,1441.0,Not applicable,Yes in some,2.74,12385.0,2007320
Brazil,13.4,19.2,18.9,168314.0,No,Yes in some,1.47,13164.0,192672317
Brunei Darussalam,24.5,29.2,29.2,,No,Yes in some,1.54,,384568
Bulgaria,41.3,44.8,44.8,23756.0,No,Yes in some,2.3,14762.0,7674913
Burkina Faso,11.2,25.2,22.7,2245.0,No,No,1.18,1315.0,15197915
Burundi,18.1,21.3,23.9,2232.0,Not applicable,No,0.54,709.0,8278109
Cambodia,4.4,4.7,34.6,12954.0,Not applicable,Yes in some,0.3,2482.0,13943889
Cameroon,15.2,15.2,1.4,4866.0,No,Yes in some,1.08,2353.0,18777081
Canada,16.9,20.7,28.1,46978.0,Not applicable,Yes in most,7.91,41896.0,33218541
Chad,12.5,7.2,22.6,2679.0,No,No,1.08,1422.0,11098664
Chile,38.3,49.6,49.6,9547.0,Yes,Yes in some,,18804.0,16661462
China,20.7,27.3,27.3,2103671.0,Not applicable,Yes in some,0.93,8190.0,1330167149
Colombia,15.9,17.9,17.9,15760.0,No,Yes in some,,10847.0,43815313
Comoros,16.5,26.5,30.4,223.0,Not applicable,Data not available,1.58,1419.0,629470
Congo,16.2,18.1,22.2,977.0,Not applicable,No,1.08,5081.0,4089602
Cook Islands,28.6,35.7,35.7,18.0,No,Yes in most,6.42,,
Costa Rica,18.7,20.8,20.8,1548.0,Not applicable,Yes in some,1.44,11935.0,4501921
Croatia,31.8,35.3,35.3,10530.0,No,Yes in some,3.21,20717.0,4393664
Cuba,27.3,37.8,37.8,17361.0,No,Yes in most,7.0,6005.0,11276609
Cyprus,32.5,29.5,29.5,1288.0,No,Yes in some,4.38,28737.0,1092390
Czechia,28.4,33.4,33.4,21298.0,No,Yes in some,3.28,26186.0,
Côte d’Ivoire,12.6,15.5,3.4,,No,No,1.66,,
Democratic People's Republic of Korea,16.8,20.3,20.3,,Not applicable,Yes in most,0.14,,
Denmark,25.8,28.5,28.5,14049.0,No,Yes in some,6.66,44246.0,5502751
Dominican Republic,13.6,14.3,14.3,5939.0,No,No,2.95,10226.0,9522948
Egypt,16.2,21.3,21.3,54011.0,No,Yes in some,0.51,9698.0,83844783
El Salvador,19.4,23.1,28.6,1258.0,No,Yes in some,1.4,7313.0,6068099
Eritrea,11.9,14.5,10.2,1389.0,No,No,25.0,,3005779
Estonia,32.9,36.4,36.4,2611.0,No,Yes in some,,24429.0,1337011
Eswatini,11.9,2.4,18.8,435.0,Not applicable,No,3.63,6791.0,
Ethiopia,3.6,4.2,10.5,7662.0,Not applicable,No,0.47,990.0,84357105
Fiji,24.4,29.9,29.9,855.0,Not applicable,No,3.09,,896731
Finland,16.7,20.8,20.8,6382.0,No,Yes in most,6.32,40130.0,5313351
France,31.4,34.5,34.5,76954.0,No,Yes in some,8.23,36762.0,61721009
Gambia,13.5,12.6,2.8,533.0,Not applicable,No,0.42,1618.0,1820542
Georgia,5.3,5.7,5.7,7600.0,No,No,1.25,8462.0,3879699
Germany,28.9,31.2,31.2,141319.0,No,Yes in some,7.32,40715.0,81217482
Ghana,3.6,4.8,5.1,4191.0,Not applicable,Yes in some,1.47,2726.0,24326087
Greece,41.1,45.3,45.3,24010.0,No,Yes in some,4.66,28908.0,11073624
Guyana,3.8,3.8,3.8,382.0,Not applicable,No,1.2,,754150
Haiti,3.5,,,2974.0,Not applicable,No,,1555.0,9575248
Hungary,33.5,35.9,35.9,27557.0,No,Data not available,3.65,20381.0,10023510
Iceland,17.6,22.1,22.1,357.0,No,Yes in some,8.93,40810.0,317715
India,9.8,23.8,38.5,843922.0,Yes,Yes in some,1.37,4031.0,1206734806
Indonesia,30.7,30.7,39.3,192154.0,Not applicable,Yes in some,,7633.0,237936544
Iran (Islamic Republic of),11.3,25.1,30.7,,Yes,Yes in some,,,
Iraq,28.8,37.1,44.4,18946.0,Not applicable,No,0.42,8587.0,29218382
Ireland,26.9,30.2,30.2,6193.0,No,Yes in some,12.5,49583.0,4452393
Israel,24.6,28.7,28.7,5542.0,No,Yes in some,5.89,27858.0,7074522
Italy,24.5,25.1,25.1,92113.0,No,Yes in some,5.59,35943.0,59224229
Jamaica,19.4,14.8,14.8,1829.0,Not applicable,Yes in most,5.75,7353.0,2711373
Japan,27.2,28.3,28.3,204369.0,No,Yes in some,2.84,35496.0,128077633
Kazakhstan,46.8,50.1,50.1,22003.0,No,Data not available,0.75,18666.0,16196517
Kenya,13.4,13.6,27.1,10164.0,No,Yes in some,1.28,2357.0,39186895
Kiribati,49.3,61.2,61.2,208.0,Not applicable,Yes in most,6.4,,103966
Kuwait,2.3,29.4,43.6,1126.0,Not applicable,Yes in most,1.77,75138.0,2650931
Kyrgyzstan,3.7,4.3,4.3,4950.0,Yes,Yes in most,0.61,4047.0,5345415
Lao People's Democratic Republic,50.2,36.6,51.1,,Not applicable,No,,,
Latvia,34.6,31.9,31.9,4857.0,Not applicable,Yes in some,3.27,20342.0,2150412
Lebanon,29.6,34.4,43.3,6064.0,No,No,,12479.0,4887613
Lesotho,16.3,20.8,42.5,2096.0,Not applicable,Yes in most,2.91,2178.0,1995014
Liberia,15.8,2.1,18.9,565.0,Not applicable,Yes in some,0.79,811.0,3783888
Lithuania,29.3,32.4,32.4,6441.0,No,Yes in some,2.25,20880.0,3224378
Luxembourg,23.9,26.2,26.2,672.0,No,Data not available,4.97,56383.0,488636
Madagascar,16.4,22.7,36.5,5071.0,No,No,,1459.0,20513599
Malawi,2.7,26.7,29.8,4118.0,Not applicable,No,1.07,1018.0,13889423
Malaysia,21.8,25.7,25.7,18781.0,Not applicable,Yes in some,2.78,17866.0,27664296
Mali,18.2,2.6,2.6,2363.0,No,No,1.66,1460.0,14551117
Malta,26.9,30.1,30.1,536.0,Not applicable,Yes in some,5.58,23675.0,413402
Mauritius,3.6,4.2,54.1,912.0,Not applicable,No,2.35,15958.0,1275684
Mexico,26.7,24.4,24.4,42618.0,No,Yes in most,2.71,14808.0,109684489
Mongolia,42.6,52.2,57.6,2545.0,No,Yes in some,0.43,6982.0,2633888
Morocco,14.8,17.4,19.4,16707.0,No,Yes in most,2.38,6531.0,31634992
Mozambique,2.3,34.5,33.7,6601.0,No,No,0.64,1031.0,21845571
Myanmar,39.7,29.9,55.4,65134.0,Not applicable,Yes in some,,3586.0,48729486
Namibia,21.5,21.8,21.9,1191.0,Not applicable,No,3.03,7618.0,2038552
Nauru,43.4,53.3,62.8,13.0,Not applicable,No,4.4,,
Nepal,27.4,30.8,58.6,27964.0,Not applicable,Yes in some,0.94,2021.0,26881544
Netherlands,24.3,28.4,28.4,29207.0,No,Yes in most,7.36,44841.0,16460770
New Zealand,21.5,22.5,22.5,4644.0,No,Yes in most,7.83,31445.0,4260239
Niger,10.9,12.8,14.5,1278.0,Not applicable,No,0.95,809.0,15455176
Nigeria,4.5,5.2,11.2,16205.0,Not applicable,Yes in some,1.52,4084.0,152382506
Norway,24.5,30.8,20.7,6442.0,No,Yes in some,13.92,76522.0,4768654
Oman,10.7,14.2,18.1,792.0,No,No,1.56,40910.0,2651029
Pakistan,28.9,37.6,30.7,131924.0,Not applicable,Yes in some,0.28,4224.0,185931955
Palau,26.3,22.2,29.5,25.0,Not applicable,Yes in some,3.5,,
Panama,3.1,16.5,19.1,1047.0,Yes,Yes in some,1.96,14467.0,3495277
Paraguay,27.5,32.9,32.9,3535.0,Not applicable,Yes in some,,6713.0,5645148
Peru,30.2,22.3,22.3,3790.0,Yes,No,1.33,8813.0,28806185
Philippines,37.3,30.5,30.5,80522.0,No,No,0.28,5329.0,91252327
Poland,31.8,34.1,34.1,79013.0,No,Yes in some,2.64,19012.0,38522883
Portugal,23.1,26.1,26.1,12879.0,No,Yes in some,5.13,25591.0,10580961
Qatar,10.1,12.7,14.9,240.0,No,Yes in some,1.65,107402.0,1444278
Republic of Korea,48.9,51.7,51.7,,Not applicable,Yes in some,,,48398627
Republic of Moldova,39.3,43.8,43.8,,Not applicable,No,0.59,,3812422
Romania,30.8,34.4,34.4,43617.0,No,Yes in some,2.79,16347.0,20597508
Russian Federation,30.9,31.5,31.5,,No,No,1.05,,143086549
Rwanda,16.9,24.3,24.6,3529.0,Not applicable,No,0.92,1365.0,9781997
Samoa,28.7,35.6,35.6,219.0,No,No,3.18,,191787
Sao Tome and Principe,2.7,4.6,5.9,34.0,Not applicable,No,,2926.0,174004
Saudi Arabia,2.1,2.9,3.3,8590.0,Not applicable,Yes in most,1.6,39393.0,27437353
Senegal,15.8,18.3,12.1,2913.0,No,Yes in some,0.95,2147.0,11872929
Serbia,38.8,43.6,43.6,26166.0,Not applicable,Yes in some,1.31,11650.0,7722794
Seychelles,34.1,38.8,39.5,88.0,Not applicable,No,8.26,18687.0,89644
Sierra Leone,36.6,28.6,28.6,1848.0,Not applicable,No,,1363.0,6090861
Singapore,24.6,27.5,27.5,2389.0,No,Yes in most,8.51,52180.0,4838402
Slovakia,26.8,31.9,31.9,8585.0,No,No,3.26,22232.0,5381636
Slovenia,22.4,24.3,24.3,2764.0,No,Yes in some,3.42,28474.0,2034033
Solomon Islands,33.6,40.4,40.4,754.0,Not applicable,No,,,516001
South Africa,29.2,35.7,25.3,42090.0,No,Yes in most,2.52,10977.0,50565812
Spain,24.2,33.3,33.3,67461.0,No,Yes in some,3.88,32844.0,45966538
Sri Lanka,11.6,15.3,45.5,12124.0,Not applicable,Yes in most,2.97,7622.0,20285643
Sweden,18.6,25.1,41.7,13513.0,No,Yes in most,8.16,42190.0,9229271
Switzerland,23.8,27.1,27.1,9821.0,No,Yes in some,6.31,56055.0,7638289
Thailand,22.2,23.7,4.5,51697.0,Not applicable,Yes in some,1.39,12768.0,67328240
Timor-Leste,6.4,48.5,48.5,,Not applicable,No,1.0,,1043077
Togo,12.2,16.1,3.3,1993.0,Not applicable,No,0.83,1150.0,6222482
Tonga,25.7,31.7,31.7,100.0,No,No,3.95,,106932
Tunisia,22.8,3.4,4.5,8696.0,No,Yes in most,1.44,10295.0,10680381
Turkey,30.4,32.6,32.6,69302.0,No,No,2.47,16183.0,71320726
Tuvalu,35.4,43.6,56.7,15.0,No,Yes in most,4.5,,
Uganda,19.2,17.2,26.4,5684.0,Not applicable,Data not available,,1679.0,30509862
Ukraine,31.2,32.9,32.9,126324.0,No,No,0.53,10824.0,46062937
United Arab Emirates,12.6,16.4,12.7,1341.0,Not applicable,Yes in some,1.77,63862.0,6988685
United Kingdom of Great Britain and Northern Ireland,26.6,30.3,30.3,,No,Yes in most,11.21,,
United Republic of Tanzania,8.9,1.8,32.6,,No,Yes in some,,,
United States of America,21.5,25.1,29.1,,Not applicable,Yes in some,4.58,,305694910
Uruguay,27.8,31.1,31.1,5021.0,Yes,Yes in some,2.28,14870.0,3336126
Uzbekistan,11.9,14.4,14.4,16971.0,No,No,0.53,6278.0,27726811
Vanuatu,1.6,3.6,4.2,182.0,Not applicable,No,6.75,,233953
Yemen,24.6,21.7,26.2,12326.0,No,No,0.75,4549.0,23329004
Zambia,13.2,27.3,23.4,4051.0,No,No,,2505.0,12852966
Zimbabwe,12.9,2.1,2.1,8421.0,No,No,0.4,1198.0,12550348
